omega_i_max,omega_r,c_r,c_i,idx,n_spurious,alpha,beta,Fr,Cf,Re,N,profile_mode
-0.025226670295013652,0.7542485232976976,0.7542485232976976,-0.025226670295013652,2,40,7.563265306122449,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.02522691740024987,0.7542485923961935,0.7542485923961935,-0.02522691740024987,2,40,7.766326530612244,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.02522714585996151,0.7542486562803877,0.7542486562803877,-0.02522714585996151,2,40,7.969387755102041,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025227357500968224,0.7542487154620218,0.7542487154620218,-0.025227357500968224,2,40,8.172448979591838,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025227553938556843,0.7542487703915643,0.7542487703915643,-0.025227553938556843,2,40,8.375510204081634,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025227736591861494,0.7542488214668098,0.7542488214668098,-0.025227736591861494,2,40,8.57857142857143,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.02522790672159283,0.7542488690401001,0.7542488690401001,-0.02522790672159283,2,40,8.781632653061225,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025228065446966166,0.7542489134244146,0.7542489134244146,-0.025228065446966166,2,40,8.98469387755102,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025228213764604643,0.7542489548985335,0.7542489548985335,-0.025228213764604643,2,40,9.187755102040816,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025228352564572648,0.7542489937114277,0.7542489937114277,-0.025228352564572648,2,40,9.390816326530613,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025228482648774534,0.7542490300860006,0.7542490300860006,-0.025228482648774534,2,40,9.593877551020409,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025228604722882936,0.7542490642222969,0.7542490642222969,-0.025228604722882936,2,40,9.796938775510204,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025228719439108375,0.7542490963002629,0.7542490963002629,-0.025228719439108375,2,40,10.0,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
