s_m,lon,lat,B_m,C_1m
22331.370000,115.248569,35.430202,478.420000,-0.000249
22429.240000,115.249268,35.430857,463.470000,0.002165
22527.100000,115.250189,35.431127,508.320000,0.001359
22624.970000,115.251111,35.431396,553.170000,-0.000000
22624.970000,115.251111,35.431396,568.120000,0.001048
22724.000000,115.251593,35.432148,523.270000,0.001763
22823.020000,115.252284,35.432839,538.220000,0.001545
22922.050000,115.253117,35.433283,538.220000,0.000060
23021.070000,115.253863,35.433879,538.220000,-0.000543
23120.100000,115.254652,35.434399,508.320000,0.000246
23219.120000,115.255343,35.435089,538.220000,0.001702
23318.150000,115.256231,35.435439,568.120000,0.002320
23318.150000,115.256231,35.435439,598.020000,0.003038
23417.200000,115.256505,35.436252,538.220000,0.002608
23516.260000,115.257287,35.436786,568.120000,0.000626
23615.320000,115.257986,35.437463,538.220000,-0.000000
23714.370000,115.258677,35.438154,538.220000,0.000463
23813.430000,115.259467,35.438674,538.220000,-0.000402
23912.490000,115.260158,35.439365,553.170000,0.000052
24011.550000,115.260869,35.440020,568.120000,0.000828
24110.600000,115.261648,35.440559,568.120000,0.000434
24209.660000,115.262428,35.441096,568.120000,0.000116
24308.720000,115.263218,35.441617,568.120000,-0.000132
24407.770000,115.264008,35.442137,583.070000,-0.000542
24506.830000,115.264764,35.442715,538.220000,-0.000174
24605.890000,115.265488,35.443348,553.170000,0.000542
24704.950000,115.266278,35.443868,553.170000,-0.000684
24804.000000,115.267068,35.444389,612.970000,-0.002067
24903.060000,115.267550,35.445141,642.870000,-0.002043
24903.060000,115.267550,35.445141,747.530000,-0.004663
24988.050000,115.268440,35.445221,612.970000,-0.003790
25073.050000,115.269032,35.445814,598.020000,0.000000
25158.040000,115.269735,35.446219,702.670000,0.002091
25243.040000,115.270515,35.446488,792.380000,0.001266
25243.040000,115.270515,35.446488,1794.060000,0.000000
25339.630000,115.271188,35.445814,1794.060000,0.000000
25436.220000,115.271862,35.445141,1734.260000,-0.000000
25532.800000,115.272536,35.444467,732.580000,-0.000000
25629.390000,115.273210,35.443793,493.370000,0.000000
25629.390000,115.273210,35.443793,807.330000,-0.002289
25728.600000,115.274146,35.444063,777.430000,-0.003019
25827.810000,115.274890,35.444665,717.630000,-0.004066
25927.020000,115.275366,35.445421,956.830000,-0.005786
26026.230000,115.275291,35.446293,1106.340000,-0.004579
26125.440000,115.274599,35.446530,852.180000,0.000034
26224.660000,115.274288,35.447249,1345.550000,0.000205
26323.870000,115.273632,35.447952,1629.610000,-0.000897
26423.080000,115.272940,35.448644,1794.060000,-0.000170
26423.080000,115.272940,35.448644,897.030000,-0.001278
26517.780000,115.273601,35.449305,852.180000,-0.001120
26612.480000,115.274018,35.450036,837.230000,-0.000384
26707.180000,115.274505,35.450748,822.280000,0.000000
26801.880000,115.274957,35.451469,807.330000,-0.000097
26896.580000,115.275409,35.452191,777.430000,-0.000392
26991.280000,115.275861,35.452912,807.330000,-0.000000
27085.980000,115.276174,35.453674,762.480000,0.000196
27180.680000,115.276765,35.454355,747.530000,-0.000417
27275.380000,115.277008,35.455138,732.580000,0.000607
27370.080000,115.277522,35.455841,747.530000,-0.000349
27464.780000,115.278061,35.456537,702.670000,-0.002010
27559.480000,115.278156,35.457363,702.670000,0.000174
27654.180000,115.278399,35.458146,672.770000,0.000366
27748.880000,115.278851,35.458867,583.070000,-0.001865
27843.580000,115.278869,35.459716,583.070000,-0.000557
27938.280000,115.278869,35.460569,523.270000,0.001419
28032.980000,115.279139,35.461344,538.220000,0.000753
28127.680000,115.279408,35.462119,523.270000,-0.000000
28127.680000,115.279408,35.462119,568.120000,0.000000
28197.450000,115.279408,35.462748,463.470000,0.000000
28267.210000,115.279408,35.463376,493.370000,0.000000
28336.980000,115.279408,35.464005,418.610000,0.000000
28336.980000,115.279408,35.464005,448.520000,0.000000
28431.180000,115.279678,35.464776,463.470000,0.000000
28525.380000,115.279947,35.465546,433.570000,0.000260
28619.570000,115.280217,35.466316,403.660000,0.000776
28713.770000,115.280576,35.467060,388.710000,0.000768
28807.970000,115.281025,35.467778,299.010000,0.000505
28807.970000,115.281025,35.467778,328.910000,-0.001094
28906.580000,115.281812,35.468295,299.010000,-0.001727
29005.190000,115.282500,35.468983,269.110000,-0.001055
29103.800000,115.282911,35.469752,224.260000,0.001686
29202.410000,115.283557,35.470310,299.010000,0.001815
29301.020000,115.284394,35.470743,239.210000,-0.000102
29399.630000,115.285168,35.471282,284.060000,0.000147
29498.230000,115.285942,35.471821,299.010000,0.000575
29596.840000,115.286804,35.472209,328.910000,-0.000106
29695.450000,115.287590,35.472727,284.060000,-0.000252
29794.060000,115.288421,35.473168,313.960000,0.000515
29892.670000,115.289195,35.473707,284.060000,0.001395
29991.280000,115.290126,35.473976,313.960000,-0.000057
30089.890000,115.291034,35.474284,328.910000,-0.001576
30188.500000,115.291821,35.474801,403.660000,-0.000135
30287.110000,115.292608,35.475319,418.610000,0.000751
30385.720000,115.293494,35.475665,418.610000,0.000442
30484.330000,115.294310,35.476132,433.570000,0.000839
30582.940000,115.295240,35.476402,463.470000,-0.000294
30681.550000,115.296151,35.476706,538.220000,-0.001589
30780.160000,115.296938,35.477223,568.120000,-0.000726
30878.770000,115.297724,35.477740,568.120000,0.000577
30977.380000,115.298511,35.478258,553.170000,0.000577
31075.980000,115.299397,35.478604,553.170000,-0.000000
31174.590000,115.300184,35.479122,538.220000,-0.000577
31273.200000,115.301070,35.479468,538.220000,-0.000577
31371.810000,115.301757,35.480156,523.270000,0.000577
31470.420000,115.302643,35.480503,523.270000,0.000051
31569.030000,115.303430,35.481020,478.420000,-0.000577
31667.640000,115.304226,35.481522,478.420000,0.000473
31766.250000,115.305004,35.482055,433.570000,0.001170
31864.860000,115.305889,35.482402,418.610000,0.000491
31963.470000,115.306775,35.482748,448.520000,-0.000593
32062.080000,115.307635,35.483139,448.520000,-0.000286
32160.690000,115.308448,35.483612,448.520000,-0.000000
32259.300000,115.309333,35.483959,448.520000,0.000079
32357.910000,115.310120,35.484477,448.520000,0.000156
32456.520000,115.311045,35.484756,448.520000,-0.000039
32555.130000,115.311819,35.485295,478.420000,0.000278
32653.730000,115.312749,35.485565,478.420000,-0.000026
32752.340000,115.313564,35.486034,463.470000,-0.000435
32850.950000,115.314450,35.486381,463.470000,0.000052
32949.560000,115.315237,35.486898,478.420000,0.001082
33048.170000,115.316159,35.487182,448.520000,0.000155
33146.780000,115.317089,35.487451,478.420000,-0.000977
33245.390000,115.317894,35.487938,493.370000,0.000220
33344.000000,115.318779,35.488285,478.420000,0.000488
33442.610000,115.319665,35.488632,433.570000,0.000000
33541.220000,115.320551,35.488978,403.660000,0.000225
33639.830000,115.321437,35.489325,388.710000,0.000494
33738.440000,115.322360,35.489607,358.810000,0.001217
33837.050000,115.323290,35.489877,328.910000,0.001770
33935.660000,115.324377,35.489877,269.110000,0.000821
34034.270000,115.325463,35.489877,239.210000,-0.000821
34132.880000,115.326550,35.489877,269.110000,-0.001627
34231.480000,115.327480,35.490146,239.210000,0.000000
34330.090000,115.328427,35.490387,194.360000,0.000713
34428.700000,115.329497,35.490416,269.110000,0.000366
34527.310000,115.330428,35.490685,328.910000,0.001882
34625.920000,115.331282,35.490547,358.810000,0.000028
34724.530000,115.332133,35.490416,388.710000,-0.000968
34823.140000,115.333054,35.490669,433.570000,0.002096
34921.750000,115.333993,35.490416,448.520000,0.001726
35020.360000,115.334924,35.490146,493.370000,0.000112
35020.360000,115.334924,35.490146,493.370000,0.003717
35115.510000,115.335816,35.490416,448.520000,0.002742
35210.660000,115.336709,35.490146,508.320000,0.000216
35305.810000,115.337757,35.490146,538.220000,0.000000
35400.970000,115.338766,35.490077,493.370000,0.000431
35496.120000,115.339698,35.489877,508.320000,-0.000884
35591.270000,115.340747,35.489877,508.320000,-0.000647
35686.420000,115.341796,35.489877,508.320000,0.000149
35781.570000,115.342844,35.489877,538.220000,0.000884
35876.720000,115.343865,35.489829,553.170000,-0.000318
35971.870000,115.344785,35.489607,568.120000,-0.001767
36067.030000,115.345678,35.489877,538.220000,0.000170
36162.180000,115.346726,35.489877,478.420000,0.000884
36257.330000,115.347775,35.489877,448.520000,-0.000884
36352.480000,115.348824,35.489877,478.420000,-0.000884
36447.630000,115.349716,35.490146,448.520000,0.000522
36542.780000,115.350765,35.490146,478.420000,-0.001231
36637.940000,115.351747,35.490261,448.520000,-0.003155
36733.090000,115.352510,35.490754,403.660000,-0.003127
36828.240000,115.353272,35.491247,358.810000,-0.003418
36923.390000,115.353519,35.492033,328.910000,-0.003383
36923.390000,115.353519,35.492033,373.760000,-0.002999
37014.750000,115.354255,35.492499,284.060000,-0.003192
37106.110000,115.354597,35.493223,284.060000,-0.002724
37197.470000,115.354867,35.493968,328.910000,-0.001031
37288.820000,115.354867,35.494791,284.060000,0.000810
37380.180000,115.355136,35.495536,343.860000,0.001621
37380.180000,115.354867,35.496614,373.760000,-0.000045
37479.230000,115.354597,35.497428,343.860000,-0.000577
